Date;#
20/06/2015;50
21/06/2015;54
22/06/2015;155
23/06/2015;158
24/06/2015;155
25/06/2015;138
26/06/2015;154
27/06/2015;42
28/06/2015;67
29/06/2015;204
30/06/2015;136
01/07/2015;215
02/07/2015;23
03/07/2015;51
04/07/2015;211
05/07/2015;175
06/07/2015;42
07/07/2015;197
08/07/2015;110
09/07/2015;167
10/07/2015;117
11/07/2015;24
12/07/2015;218
13/07/2015;228
14/07/2015;200
15/07/2015;149
16/07/2015;165
17/07/2015;118
18/07/2015;74
19/07/2015;82
20/07/2015;218
21/07/2015;145
22/07/2015;171
23/07/2015;143
24/07/2015;113
25/07/2015;46
26/07/2015;67
27/07/2015;196
28/07/2015;173
29/07/2015;173
30/07/2015;129
31/07/2015;110
01/08/2015;182
02/08/2015;41
03/08/2015;62
04/08/2015;201
05/08/2015;136
06/08/2015;242
07/08/2015;164
08/08/2015;50
09/08/2015;136
10/08/2015;136
11/08/2015;57
12/08/2015;149
13/08/2015;113
14/08/2015;108
15/08/2015;36
16/08/2015;47
17/08/2015;133
18/08/2015;147
19/08/2015;193
20/08/2015;120
21/08/2015;94
22/08/2015;45
23/08/2015;42
24/08/2015;200
25/08/2015;139
26/08/2015;132
27/08/2015;97
28/08/2015;139
29/08/2015;41
30/08/2015;36
31/08/2015;176
01/09/2015;209
02/09/2015;176
03/09/2015;159
04/09/2015;129
05/09/2015;50
06/09/2015;135
07/09/2015;120
08/09/2015;55
09/09/2015;121
10/09/2015;157
11/09/2015;182
12/09/2015;135
13/09/2015;82
14/09/2015;148
15/09/2015;128
16/09/2015;166
17/09/2015;143
18/09/2015;145
19/09/2015;38
20/09/2015;44
21/09/2015;172
22/09/2015;135
23/09/2015;112
24/09/2015;136
25/09/2015;131
26/09/2015;57
27/09/2015;43
28/09/2015;202
29/09/2015;166
30/09/2015;166
01/10/2015;77
02/10/2015;118
03/10/2015;135
04/10/2015;122
05/10/2015;51
06/10/2015;163
07/10/2015;146
08/10/2015;173
09/10/2015;128
10/10/2015;51
11/10/2015;159
12/10/2015;149
13/10/2015;134
14/10/2015;108
15/10/2015;98
16/10/2015;109
17/10/2015;47
18/10/2015;54
19/10/2015;213
20/10/2015;142
21/10/2015;137
22/10/2015;123
23/10/2015;87
24/10/2015;41
25/10/2015;11
26/10/2015;236
27/10/2015;147
28/10/2015;150
29/10/2015;109
30/10/2015;96
31/10/2015;89
01/11/2015;62
02/11/2015;119
03/11/2015;117
04/11/2015;47
05/11/2015;208
06/11/2015;147
07/11/2015;68
08/11/2015;144
09/11/2015;131
10/11/2015;44
11/11/2015;120
12/11/2015;82
13/11/2015;96
14/11/2015;19
15/11/2015;44
16/11/2015;201
17/11/2015;123
18/11/2015;155
19/11/2015;116
20/11/2015;118
21/11/2015;33
22/11/2015;62
23/11/2015;193
24/11/2015;118
25/11/2015;118
26/11/2015;105
27/11/2015;119
28/11/2015;44
29/11/2015;8
30/11/2015;175
01/12/2015;210
02/12/2015;113
03/12/2015;151
04/12/2015;55
05/12/2015;167
06/12/2015;61
07/12/2015;43
08/12/2015;116
09/12/2015;46
10/12/2015;181
11/12/2015;123
12/12/2015;1
13/12/2015;0
14/12/2015;255
15/12/2015;142
16/12/2015;140
17/12/2015;150
18/12/2015;101
19/12/2015;76
20/12/2015;96
21/12/2015;171
22/12/2015;121
23/12/2015;112
24/12/2015;63
25/12/2015;33
26/12/2015;49
27/12/2015;76
28/12/2015;133
29/12/2015;120
30/12/2015;95
31/12/2015;82
01/01/2016;126
02/01/2016;211
03/01/2016;146
04/01/2016;163
05/01/2016;65
06/01/2016;177
07/01/2016;154
08/01/2016;218
09/01/2016;223
10/01/2016;99
11/01/2016;294
12/01/2016;121
13/01/2016;143
14/01/2016;142
15/01/2016;127
16/01/2016;51
17/01/2016;65
18/01/2016;140
19/01/2016;126
20/01/2016;116
21/01/2016;130
22/01/2016;85
23/01/2016;20
24/01/2016;0
25/01/2016;300
26/01/2016;145
27/01/2016;129
28/01/2016;145
29/01/2016;131
30/01/2016;72
31/01/2016;65
01/02/2016;94
02/02/2016;142
03/02/2016;128
04/02/2016;65
05/02/2016;198
06/02/2016;155
07/02/2016;120
08/02/2016;184
09/02/2016;191
10/02/2016;122
11/02/2016;133
12/02/2016;163
13/02/2016;54
14/02/2016;40
15/02/2016;190
16/02/2016;106
17/02/2016;89
18/02/2016;134
19/02/2016;119
20/02/2016;45
21/02/2016;67
22/02/2016;189
23/02/2016;173
24/02/2016;189
25/02/2016;122
26/02/2016;133
27/02/2016;56
28/02/2016;52
29/02/2016;208
01/03/2016;80
02/03/2016;149
03/03/2016;174
04/03/2016;71
05/03/2016;139
06/03/2016;152
07/03/2016;118
08/03/2016;158
09/03/2016;139
10/03/2016;199
11/03/2016;162
12/03/2016;77
13/03/2016;45
14/03/2016;202
15/03/2016;155
16/03/2016;141
17/03/2016;163
18/03/2016;124
19/03/2016;48
20/03/2016;51
21/03/2016;239
22/03/2016;172
23/03/2016;182
24/03/2016;96
25/03/2016;175
26/03/2016;42
27/03/2016;51
28/03/2016;53
29/03/2016;212
30/03/2016;148
31/03/2016;157
01/04/2016;291
02/04/2016;122
03/04/2016;173
04/04/2016;231
05/04/2016;150
06/04/2016;106
07/04/2016;315
08/04/2016;210
09/04/2016;89
10/04/2016;186
11/04/2016;128
12/04/2016;64
13/04/2016;165
14/04/2016;146
15/04/2016;138
16/04/2016;28
17/04/2016;44
18/04/2016;243
19/04/2016;139
20/04/2016;126
21/04/2016;116
22/04/2016;149
23/04/2016;53
24/04/2016;23
25/04/2016;154
26/04/2016;110
27/04/2016;20
28/04/2016;156
29/04/2016;143
30/04/2016;52
01/05/2016;192
02/05/2016;153
03/05/2016;52
04/05/2016;202
05/05/2016;31
06/05/2016;45
07/05/2016;190
08/05/2016;169
09/05/2016;241
10/05/2016;124
11/05/2016;68
12/05/2016;136
13/05/2016;156
14/05/2016;70
15/05/2016;70
16/05/2016;92
17/05/2016;215
18/05/2016;211
19/05/2016;28
20/05/2016;234
21/05/2016;76
22/05/2016;59
23/05/2016;161
24/05/2016;198
25/05/2016;181
26/05/2016;163
27/05/2016;128
28/05/2016;104
29/05/2016;113
30/05/2016;197
31/05/2016;227
01/06/2016;175
02/06/2016;48
03/06/2016;70
04/06/2016;145
05/06/2016;110
06/06/2016;345
07/06/2016;214
08/06/2016;119
09/06/2016;215
10/06/2016;158
11/06/2016;52
12/06/2016;133
13/06/2016;243
14/06/2016;327
15/06/2016;178
16/06/2016;302
17/06/2016;184
18/06/2016;145
19/06/2016;90
20/06/2016;169
21/06/2016;232
22/06/2016;201
23/06/2016;179
24/06/2016;221
25/06/2016;116
26/06/2016;0
27/06/2016;351
28/06/2016;233
29/06/2016;211
30/06/2016;172
01/07/2016;117
02/07/2016;55
03/07/2016;214
04/07/2016;132
05/07/2016;67
06/07/2016;220
07/07/2016;183
08/07/2016;93
09/07/2016;202
10/07/2016;199
11/07/2016;234
12/07/2016;169
13/07/2016;197
14/07/2016;172
15/07/2016;177
16/07/2016;109
17/07/2016;99
18/07/2016;247
19/07/2016;191
20/07/2016;159
21/07/2016;152
22/07/2016;180
23/07/2016;133
24/07/2016;82
25/07/2016;256
26/07/2016;205
27/07/2016;221
28/07/2016;189
29/07/2016;190
30/07/2016;124
31/07/2016;96
01/08/2016;152
02/08/2016;132
03/08/2016;180
04/08/2016;151
05/08/2016;76
06/08/2016;85
07/08/2016;178
08/08/2016;211
09/08/2016;176
10/08/2016;100
11/08/2016;155
12/08/2016;142
13/08/2016;109
14/08/2016;74
15/08/2016;237
16/08/2016;146
17/08/2016;165
18/08/2016;149
19/08/2016;118
20/08/2016;98
21/08/2016;78
22/08/2016;200
23/08/2016;188
24/08/2016;131
25/08/2016;159
26/08/2016;145
27/08/2016;112
28/08/2016;100
29/08/2016;221
30/08/2016;179
31/08/2016;226
01/09/2016;61
02/09/2016;180
03/09/2016;155
04/09/2016;25
05/09/2016;224
06/09/2016;280
07/09/2016;134
08/09/2016;157
09/09/2016;162
10/09/2016;118
11/09/2016;109
12/09/2016;151
13/09/2016;213
14/09/2016;172
15/09/2016;155
16/09/2016;216
17/09/2016;133
18/09/2016;119
19/09/2016;265
20/09/2016;197
21/09/2016;113
22/09/2016;252
23/09/2016;195
24/09/2016;113
25/09/2016;65
26/09/2016;244
27/09/2016;178
28/09/2016;155
29/09/2016;171
30/09/2016;200
01/10/2016;62
02/10/2016;166
03/10/2016;147
04/10/2016;23
05/10/2016;184
06/10/2016;158
